Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude_final,Longitude_final
1215,Century Tokyo Leasing,8.7,0.3,27.4,2.6,Japan,Asia,34.9486,135.6983
1215,BorgWarner,7.2,0.5,6.4,9.2,USA,North America,39.1511,-119.7476
1217,Hindustan Petroleum,32.6,0,16.8,1.9,India,Asia,12.2121,76.9018
1218,Qingdao Haier,12.6,0.5,8,5.4,China,Asia,22.2915,113.3695
1219,Stockland Australia,2.1,0.5,14.9,8.8,Australia,Oceania,-20.7761,139.4938
1219,E-mart,11.3,0.4,11.5,5.4,South Korea,Asia,37.2333,127.2
1221,Interpublic Group,7,0.4,13.5,5.5,USA,North America,27.9633,-81.8781
1222,Orascom Construction,5.4,0.7,9.8,7,Egypt,Africa,31.0234,31.6479
1223,Molson Coors Brewing,3.9,0.4,16.2,8.8,USA,North America,42.1654,-87.8516
1224,Shinsei Bank,4.5,0.1,104.4,6.6,Japan,Asia,36.0399,139.4538
1225,IHI,14.8,0.3,15.7,4.5,Japan,Asia,36.2,137.85
1226,Research In Motion,11.1,-0.6,13.2,7.9,Canada,North America,46.8139,-71.2081
1227,Want Want China,3.4,0.6,3.5,19.8,China,Asia,26.6418,118.1774
1228,Royal Carribean Cruises,7.7,0,19.8,7.4,Liberia,Africa,5.1964,-7.8756
1229,Charter Communications,7.5,-0.3,15.6,9.1,USA,North America,40.5477,-105.0656
1231,Delta Electronics,5.8,0.5,6.3,9.8,Taiwan,Asia,24.65,120.8667
1231,Micron Technology,8,-1.1,13.9,9.6,USA,North America,42.8619,-72.6145
1233,FCC,14.7,-1.1,25.1,1.3,Spain,Europe,37.6798,-1.6944
1234,CCR,3,0.6,7,17.3,Brazil,South America,-27.89,-52.2278
1234,Oji Holdings,14.7,0.3,19.7,3.5,Japan,Asia,35.7057,139.3535
1234,Hyundai Glovis,10.4,0.4,4,6.7,South Korea,Asia,37.3167,127.2833
1237,Fiserv,4.5,0.6,8.5,11.4,USA,North America,40.7934,-74.5819
1238,Fidelity National Financial,7.2,0.6,9.9,5.5,USA,North America,29.8039,-81.3086
1239,Remgro,1.7,1.1,7.1,9.9,South Africa,Africa,-33.9414,18.7066
1240,HAL Trust,5.2,0.6,8.4,9,The Netherlands,Europe,51.5074,-0.2778
1241,Synovus Financial,1.3,0.8,26.8,2.2,USA,North America,35.8771,-79.0891
1242,AGL Energy,7.6,0.1,14.5,9.5,Australia,Oceania,-29.6833,152.9333
1243,Mitsubishi Materials,17.4,0.1,21.1,3.8,Japan,Asia,32.8333,129.85
1244,Wendel,8.6,0.3,18.8,5.4,France,Europe,48.3733,-4.3694
1245,Enka,5.7,0.6,8.2,8.3,Turkey,Europe,37.9617,28.7422
1246,Bank of Nanjing,2.2,0.5,44.7,4.4,China,Asia,27.1017,106.7332
1247,Wynn Resorts,5.2,0.5,7.3,12.1,USA,North America,40.6686,-73.5104
1248,Medipal Holdings,33.2,0.1,15.5,3.2,Japan,Asia,36.2139,139.1017
1249,Coca-Cola Amatil,5.3,0.5,7,12.1,Australia,Oceania,-38.15,144.35
1249,Kajima,17.6,0,20.2,2.9,Japan,Asia,32.9281,130.5594
1251,Power Finance,2.6,0.6,26.5,4.9,India,Asia,26.3073,89.8666
1252,SQM,2.5,0.7,4,14.8,Chile,South America,-38.4,-72.7833
1252,Lennar,4.4,0.7,10.4,7.7,USA,North America,29.6994,-98.1148
1254,Qantas Airways,16.1,-0.3,21.7,4.1,Australia,Oceania,-34.63,117.6669
1255,Arab Bank,2.1,0.3,45.6,5.9,Jordan,Asia,30.1962,35.7341
1256,Orica,6.9,0.4,7.7,9.6,Australia,Oceania,-33.9167,137.6167
1257,CP All,6.2,0.4,2.3,13.9,Thailand,Asia,13.9241,100.4684
1258,Valeant Pharmaceuticals,3.5,-0.1,18,21.2,Canada,North America,45.0833,-75.35
1259,TUI,23.6,-0.1,16.8,2.8,Germany,Europe,51.15,11.9167
1260,Maxis,2.9,0.6,5.8,15.6,Malaysia,Asia,6.1833,116.2333
1261,YTL,6.4,0.4,16.3,5.6,Malaysia,Asia,2.1944,102.2486
